RocketLogger CSV File
File Version,3
Block Size,1
Block Count,728                 
Sample Count,728                 
Sample Rate,1
MAC Address,40:bd:32:e9:18:c6
Start Time,Fri Apr 24 00:09:59 2020
Comment,

,I1L_valid,I1H [nA],I1L [10pA],V1 [10nV]
1587687258.196663334,1,-18755,-8306898,-76318560
1587687259.200081826,1,-17806,-8382190,-76333551
1587687260.203559367,1,-16193,-8421764,-76342521
1587687261.207012626,1,-20874,-8456570,-76356407
1587687262.210439436,1,-18913,-8406183,-76343627
1587687263.213916485,1,-17363,-8309947,-76321755
1587687264.217355051,1,-16003,-8375582,-76331462
1587687265.220801077,1,-16478,-8404711,-76340678
1587687266.224241111,1,-20495,-8472852,-76360216
1587687267.227703327,1,-16162,-8407217,-76344856
1587687268.231120440,1,-18565,-8320813,-76325564
1587687269.234590306,1,-14928,-8368993,-76331954
1587687270.238080328,1,-16984,-8397122,-76339326
1587687271.241488417,1,-16889,-8484910,-76363657
1587687272.244909287,1,-14201,-8408899,-76344979
1587687273.248366055,1,-15023,-8334694,-76331585
1587687274.251845352,1,-18439,-8363752,-76331954
1587687275.255292630,1,-16731,-8394826,-76339818
1587687276.258746113,1,-18597,-8491272,-76362674
1587687277.262179810,1,-17743,-8410862,-76346945
1587687278.265641422,1,-18407,-8359213,-76335763
1587687279.269088720,1,-17458,-8351116,-76329988
1587687280.272576460,1,-14802,-8393476,-76339695
1587687281.275986871,1,-17427,-8493778,-76364271
1587687282.279440229,1,-15371,-8416786,-76349280
1587687283.282880856,1,-18470,-8395089,-76344242
1587687284.286317159,1,-14517,-8325353,-76323966
1587687285.289795222,1,-17490,-8390374,-76338466
1587687286.293258900,1,-15845,-8472133,-76356284
1587687287.296692122,1,-17616,-8428862,-76351737
1587687288.300114878,1,-17237,-8404448,-76343504
1587687289.303584565,1,-15687,-8308107,-76319911
1587687290.306979200,1,-15845,-8383767,-76334657
1587687291.310457694,1,-14422,-8427056,-76342153
1587687292.313928577,1,-19672,-8454204,-76353089
1587687293.317377422,1,-15845,-8405867,-76343136
1587687294.320801685,1,-14390,-8313487,-76320403
1587687295.324311930,1,-16130,-8369641,-76328882
1587687296.327720613,1,-15814,-8395212,-76334288
1587687297.331183498,1,-19356,-8491430,-76360216
1587687298.334612748,1,-18281,-8412282,-76344856
1587687299.338049086,1,-13821,-8389270,-76333797
1587687300.341486890,1,-14991,-8321006,-76315979
1587687301.344956902,1,-17680,-8386378,-76329004
1587687302.348406437,1,-16383,-8422955,-76338343
1587687303.351856154,1,-18882,-8472063,-76353458
1587687304.355308747,1,-17395,-8408268,-76340310
1587687305.358775382,1,-16826,-8370622,-76329373
1587687306.362150318,1,-18186,-8330015,-76315119
1587687307.365683841,1,-17237,-8388534,-76329004
1587687308.369093223,1,-18470,-8444127,-76340555
1587687309.372544418,1,-18945,-8453135,-76348051
1587687310.375990401,1,-15371,-8405710,-76335026
1587687311.379434339,1,-16098,-8326334,-76316962
1587687312.382894584,1,-15308,-8359003,-76325810
1587687313.386341897,1,-19166,-8392004,-76325810
1587687314.389805081,1,-19261,-8491044,-76349771
1587687315.393257378,1,-16478,-8416751,-76337483
1587687316.396683190,1,-16320,-8399050,-76331954
1587687317.400138573,1,-16415,-8313926,-76309221
1587687318.403580247,1,-18470,-8385853,-76323721
1587687319.407037865,1,-18091,-8440289,-76336009
1587687320.410478175,1,-17743,-8446125,-76342276
1587687321.413924412,1,-17269,-8404027,-76332322
1587687322.417357400,1,-14580,-8307967,-76309589
1587687323.420822367,1,-15023,-8374268,-76319666
1587687324.424279995,1,-14928,-8403712,-76327161
1587687325.427721579,1,-18470,-8468611,-76346454
1587687326.431156412,1,-15750,-8405149,-76331585
1587687327.434615456,1,-15845,-8313260,-76310327
1587687328.438068889,1,-13568,-8372358,-76321386
1587687329.441513444,1,-17901,-8402432,-76326178
1587687330.444941938,1,-18217,-8467174,-76344610
1587687331.448413448,1,-15940,-8404816,-76330602
1587687332.451857840,1,-16383,-8310508,-76308483
1587687333.455304588,1,-18945,-8372813,-76317577
1587687334.458756027,1,-13948,-8401714,-76325564
1587687335.462209264,1,-18123,-8471748,-76345593
1587687336.465654153,1,-15592,-8405499,-76331339
1587687337.469108790,1,-14327,-8321567,-76308729
1587687338.472553777,1,-16193,-8364839,-76314505
1587687339.476000526,1,-15434,-8393336,-76322246
1587687340.479452214,1,-17711,-8486522,-76345471
1587687341.482905735,1,-17522,-8407813,-76329619
1587687342.486350745,1,-16446,-8351677,-76316962
1587687343.489795134,1,-16478,-8351484,-76313030
1587687344.493245656,1,-15213,-8391636,-76322492
1587687345.496692643,1,-17553,-8491815,-76345593
1587687346.500142519,1,-16604,-8413877,-76331462
1587687347.503594690,1,-13853,-8392407,-76325564
1587687348.507037743,1,-16351,-8321812,-76307500
1587687349.510496016,1,-17458,-8387938,-76321632
1587687350.513930133,1,-17332,-8457096,-76336500
1587687351.517387353,1,-18850,-8438676,-76336869
1587687352.520836295,1,-16509,-8403939,-76329865
1587687353.524285596,1,-14928,-8310228,-76307255
1587687354.527740756,1,-17838,-8366486,-76314873
1587687355.531184234,1,-15181,-8392390,-76322615
1587687356.534628284,1,-16889,-8492271,-76346085
1587687357.538076705,1,-16604,-8416891,-76333182
1587687358.541536943,1,-15814,-8401328,-76329004
1587687359.544980036,1,-16826,-8305829,-76306272
1587687360.548416961,1,-15213,-8375319,-76319174
1587687361.551874124,1,-13853,-8395141,-76323475
1587687362.555318829,1,-15687,-8491780,-76347682
1587687363.558766928,1,-17142,-8414788,-76330971
1587687364.562217778,1,-14201,-8400732,-76329250
1587687365.565658531,1,-16003,-8305338,-76306394
1587687366.569120289,1,-16067,-8374618,-76319051
1587687367.572570976,1,-15750,-8394458,-76326793
1587687368.576012281,1,-18882,-8492884,-76350263
1587687369.579466886,1,-18091,-8415699,-76335763
1587687370.582912853,1,-15434,-8401240,-76330725
1587687371.586364425,1,-14232,-8305355,-76308361
1587687372.589816809,1,-16921,-8374776,-76320649
1587687373.593250095,1,-15782,-8394318,-76324335
1587687374.596707257,1,-18439,-8493095,-76349403
1587687375.600151253,1,-15972,-8415331,-76337360
1587687376.603593681,1,-17110,-8400014,-76332937
1587687377.607039421,1,-15561,-8308019,-76310818
1587687378.610497723,1,-17110,-8379981,-76323966
1587687379.613946780,1,-16035,-8402485,-76330233
1587687380.617384723,1,-19103,-8485401,-76354072
1587687381.620844521,1,-16351,-8410880,-76340432
1587687382.624297114,1,-16067,-8384713,-76329619
1587687383.627736260,1,-16668,-8323022,-76313276
1587687384.631194304,1,-16003,-8386974,-76327899
1587687385.634646752,1,-17363,-8433278,-76338098
1587687386.638081176,1,-16541,-8461548,-76349157
1587687387.641531289,1,-14928,-8406481,-76336254
1587687388.644986115,1,-17269,-8342458,-76322369
1587687389.648436561,1,-18281,-8348014,-76319543
1587687390.651888858,1,-16288,-8391163,-76330356
1587687391.655329132,1,-18882,-8475902,-76349526
1587687392.658785397,1,-16699,-8432717,-76348297
1587687393.662228734,1,-16383,-8404781,-76335149
1587687394.665677272,1,-17079,-8309789,-76315979
1587687395.669126267,1,-17490,-8369799,-76326424
1587687396.672578872,1,-17047,-8394563,-76332937
1587687397.676014074,1,-17838,-8491763,-76356161
1587687398.679465884,1,-17047,-8411406,-76342153
1587687399.682925482,1,-15339,-8375372,-76334288
1587687400.686370001,1,-16035,-8339812,-76320034
1587687401.689815492,1,-15308,-8391636,-76332568
1587687402.693267135,1,-19577,-8488292,-76355424
1587687403.696710302,1,-16826,-8419660,-76345593
1587687404.700171002,1,-17332,-8400014,-76339449
1587687405.703601671,1,-15972,-8317291,-76318805
1587687406.707052569,1,-16826,-8388622,-76333920
1587687407.710506655,1,-16446,-8457990,-76350140
1587687408.713951428,1,-16952,-8437169,-76350263
1587687409.717414239,1,-13568,-8405254,-76342153
1587687410.720847413,1,-16003,-8306565,-76320894
1587687411.724292263,1,-15940,-8376371,-76331216
1587687412.727745911,1,-17522,-8401977,-76338466
1587687413.731196280,1,-18376,-8480125,-76359970
1587687414.734665586,1,-16098,-8408899,-76347559
1587687415.738100308,1,-15656,-8341301,-76328021
1587687416.741565512,1,-15814,-8357338,-76329004
1587687417.745005170,1,-17016,-8393441,-76337483
1587687418.748461124,1,-17522,-8494462,-76359725
1587687419.751887270,1,-17110,-8415962,-76346576
1587687420.755347080,1,-14612,-8396631,-76342153
1587687421.758797069,1,-15624,-8318728,-76321755
1587687422.762242610,1,-16415,-8388008,-76336623
1587687423.765696150,1,-16256,-8442164,-76348911
1587687424.769140816,1,-17363,-8452329,-76356284
1587687425.772595279,1,-17838,-8406586,-76344733
1587687426.776018452,1,-16731,-8321444,-76326055
1587687427.779486370,1,-17237,-8363630,-76330848
1587687428.782935380,1,-16541,-8393985,-76336992
1587687429.786384170,1,-14738,-8494444,-76362797
1587687430.789807107,1,-18376,-8417627,-76349280
1587687431.793292952,1,-13789,-8400539,-76342767
1587687432.796725357,1,-17711,-8313067,-76323229
1587687433.800169815,1,-15909,-8385117,-76336869
1587687434.803598585,1,-17996,-8417680,-76345593
1587687435.807074963,1,-18217,-8474675,-76361445
1587687436.810515966,1,-17585,-8409443,-76348543
1587687437.813966945,1,-16098,-8361684,-76337852
1587687438.817426242,1,-16067,-8340215,-76329373
1587687439.820837326,1,-16162,-8391268,-76340187
1587687440.824337605,1,-18913,-8464457,-76357513
1587687441.827743720,1,-16067,-8443005,-76357021
1587687442.831200416,1,-17016,-8407007,-76348543
1587687443.834663509,1,-14738,-8321549,-76329496
1587687444.838088795,1,-16478,-8361597,-76334780
1587687445.841552271,1,-14454,-8393827,-76342398
1587687446.845020819,1,-18217,-8491447,-76364026
1587687447.848440109,1,-18534,-8423779,-76352843
1587687448.851907515,1,-15244,-8404991,-76347805
1587687449.855341615,1,-16541,-8306950,-76325810
1587687450.858774825,1,-17142,-8376914,-76336254
1587687451.862271079,1,-15434,-8398086,-76342767
1587687452.865697504,1,-18439,-8492411,-76367098
1587687453.869147797,1,-16699,-8413947,-76348420
1587687454.872609187,1,-15402,-8396246,-76344119
1587687455.876044934,1,-17110,-8316099,-76324335
1587687456.879499889,1,-16921,-8385502,-76336500
1587687457.882929541,1,-17870,-8419012,-76345593
1587687458.886391687,1,-14327,-8473395,-76360953
1587687459.889867262,1,-15845,-8408917,-76346576
1587687460.893296436,1,-16130,-8360440,-76336500
1587687461.896738400,1,-15719,-8340811,-76326301
1587687462.900183546,1,-16857,-8391408,-76336869
1587687463.903626259,1,-18217,-8468015,-76353826
1587687464.907078984,1,-17553,-8438974,-76352843
1587687465.910525893,1,-18281,-8405885,-76344365
1587687466.913983322,1,-16921,-8314486,-76324458
